timestamp,index,timestamp,name,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,power.draw,fan.speed,pstate,clocks.current.graphics,clocks.current.memory
2025-03-12 19:27:22.210556,4,2025/03/12 19:27:22.204,Quadro RTX 8000,66,86,80,49152,10529,38063,227.93,38,P2,1875,6500
2025-03-12 19:27:24.551590,4,2025/03/12 19:27:24.545,Quadro RTX 8000,66,77,66,49152,10529,38063,246.04,39,P2,1875,6500
2025-03-12 19:27:26.858861,4,2025/03/12 19:27:26.852,Quadro RTX 8000,66,78,67,49152,10529,38063,232.83,39,P2,1860,6500
2025-03-12 19:27:29.184086,4,2025/03/12 19:27:29.177,Quadro RTX 8000,66,91,85,49152,10529,38063,256.92,39,P2,1845,6500
2025-03-12 19:27:31.519231,4,2025/03/12 19:27:31.512,Quadro RTX 8000,66,93,86,49152,10529,38063,259.49,39,P2,1845,6500
2025-03-12 19:27:33.864004,4,2025/03/12 19:27:33.856,Quadro RTX 8000,67,98,92,49152,10529,38063,259.30,39,P2,1845,6500
2025-03-12 19:27:36.220748,4,2025/03/12 19:27:36.212,Quadro RTX 8000,66,98,92,49152,10529,38063,258.76,39,P2,1845,6500
2025-03-12 19:27:38.562332,4,2025/03/12 19:27:38.553,Quadro RTX 8000,67,98,92,49152,10529,38063,259.44,40,P2,1845,6500
2025-03-12 19:27:40.889253,4,2025/03/12 19:27:40.881,Quadro RTX 8000,66,97,91,49152,10529,38063,240.83,40,P2,1860,6500
2025-03-12 19:27:43.234752,4,2025/03/12 19:27:43.225,Quadro RTX 8000,65,0,0,49152,10535,38057,144.31,40,P2,1875,6500
2025-03-12 19:27:45.578606,4,2025/03/12 19:27:45.572,Quadro RTX 8000,66,79,63,49152,10535,38057,247.67,40,P2,1860,6500
2025-03-12 19:27:47.922830,4,2025/03/12 19:27:47.916,Quadro RTX 8000,67,79,64,49152,10535,38057,258.93,40,P2,1860,6500
2025-03-12 19:27:50.255481,4,2025/03/12 19:27:50.247,Quadro RTX 8000,64,47,38,49152,10535,38057,105.19,40,P2,1875,6500
2025-03-12 19:27:52.684564,4,2025/03/12 19:27:52.677,Quadro RTX 8000,66,89,72,49152,10535,38057,251.31,40,P2,1830,6500
2025-03-12 19:27:55.030764,4,2025/03/12 19:27:55.023,Quadro RTX 8000,67,84,68,49152,10535,38057,251.69,40,P2,1845,6500
2025-03-12 19:27:57.359436,4,2025/03/12 19:27:57.350,Quadro RTX 8000,65,0,0,49152,10535,38057,103.35,41,P2,1875,6500
2025-03-12 19:27:59.701232,4,2025/03/12 19:27:59.694,Quadro RTX 8000,67,78,64,49152,10535,38057,249.30,41,P2,1860,6500
2025-03-12 19:28:02.036231,4,2025/03/12 19:28:02.028,Quadro RTX 8000,67,77,63,49152,10535,38057,250.94,40,P2,1875,6500
2025-03-12 19:28:04.372272,4,2025/03/12 19:28:04.366,Quadro RTX 8000,65,69,57,49152,10535,38057,155.64,41,P2,1875,6500
2025-03-12 19:28:06.803067,4,2025/03/12 19:28:06.796,Quadro RTX 8000,67,85,69,49152,10535,38057,253.61,41,P2,1860,6500
2025-03-12 19:28:09.143545,4,2025/03/12 19:28:09.137,Quadro RTX 8000,67,80,65,49152,10535,38057,246.24,41,P2,1860,6500
2025-03-12 19:28:11.471231,4,2025/03/12 19:28:11.465,Quadro RTX 8000,65,83,67,49152,10535,38057,236.06,41,P2,1875,6500
2025-03-12 19:28:13.852342,4,2025/03/12 19:28:13.845,Quadro RTX 8000,67,78,64,49152,10535,38057,248.65,41,P2,1860,6500
2025-03-12 19:28:16.202105,4,2025/03/12 19:28:16.192,Quadro RTX 8000,67,82,67,49152,10535,38057,262.58,41,P2,1845,6500
2025-03-12 19:28:18.542834,4,2025/03/12 19:28:18.535,Quadro RTX 8000,65,80,65,49152,10535,38057,143.81,41,P2,1875,6500
2025-03-12 19:28:21.020320,4,2025/03/12 19:28:21.013,Quadro RTX 8000,67,73,65,49152,10535,38057,241.20,41,P2,1845,6500
2025-03-12 19:28:23.357188,4,2025/03/12 19:28:23.349,Quadro RTX 8000,67,71,61,49152,10535,38057,260.10,41,P2,1830,6500
2025-03-12 19:28:25.701335,4,2025/03/12 19:28:25.694,Quadro RTX 8000,67,89,83,49152,10535,38057,258.66,41,P2,1845,6500
2025-03-12 19:28:28.047553,4,2025/03/12 19:28:28.038,Quadro RTX 8000,66,86,78,49152,10535,38057,239.92,41,P2,1860,6500
2025-03-12 19:28:30.381262,4,2025/03/12 19:28:30.374,Quadro RTX 8000,67,79,70,49152,10535,38057,259.80,41,P2,1830,6500
2025-03-12 19:28:32.729044,4,2025/03/12 19:28:32.719,Quadro RTX 8000,67,98,91,49152,10535,38057,257.22,41,P2,1845,6500
2025-03-12 19:28:35.073194,4,2025/03/12 19:28:35.066,Quadro RTX 8000,67,98,92,49152,10535,38057,254.91,41,P2,1845,6500
2025-03-12 19:28:37.402221,4,2025/03/12 19:28:37.395,Quadro RTX 8000,67,98,92,49152,10535,38057,259.62,41,P2,1875,6500
2025-03-12 19:28:39.747287,4,2025/03/12 19:28:39.741,Quadro RTX 8000,67,83,76,49152,10535,38057,227.97,41,P2,1875,6500
2025-03-12 19:28:42.075834,4,2025/03/12 19:28:42.068,Quadro RTX 8000,67,91,84,49152,10535,38057,245.60,42,P2,1860,6500
2025-03-12 19:28:44.421559,4,2025/03/12 19:28:44.414,Quadro RTX 8000,66,72,61,49152,10535,38057,253.73,41,P2,1875,6500
