CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
885.5,"svmem(total=540894633984, available=507456974848, percent=6.2, used=29880176640, free=361912950784, active=64543064064, inactive=103383379968, buffers=2552770560, cached=146548736000, shared=56205312, slab=7699226624)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:51.760723
522.4,"svmem(total=540894633984, available=507458752512, percent=6.2, used=29878411264, free=361914683392, active=64542842880, inactive=103383400448, buffers=2552770560, cached=146548768768, shared=56205312, slab=7699324928)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:54.090640
708.4,"svmem(total=540894633984, available=507462279168, percent=6.2, used=29874860032, free=361918177280, active=64534671360, inactive=103383425024, buffers=2552770560, cached=146548826112, shared=56205312, slab=7698939904)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:56.426379
779.5,"svmem(total=540894633984, available=507388334080, percent=6.2, used=29948780544, free=361844195328, active=64607318016, inactive=103383461888, buffers=2552782848, cached=146548875264, shared=56205312, slab=7699398656)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:40:58.741594
804.8,"svmem(total=540894633984, available=507397226496, percent=6.2, used=29939904512, free=361853022208, active=64596688896, inactive=103383494656, buffers=2552782848, cached=146548924416, shared=56205312, slab=7699103744)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:01.074741
817.9,"svmem(total=540894633984, available=507493163008, percent=6.2, used=29843959808, free=361948950528, active=64494395392, inactive=103383502848, buffers=2552782848, cached=146548940800, shared=56205312, slab=7699267584)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:03.385690
689.9,"svmem(total=540894633984, available=507473920000, percent=6.2, used=29863235584, free=361929617408, active=64519069696, inactive=103383543808, buffers=2552782848, cached=146548998144, shared=56205312, slab=7698898944)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:05.724934
692.3,"svmem(total=540894633984, available=507486339072, percent=6.2, used=29850808320, free=361941995520, active=64507629568, inactive=103383547904, buffers=2552782848, cached=146549047296, shared=56205312, slab=7698292736)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:08.075475
603.8,"svmem(total=540894633984, available=507485560832, percent=6.2, used=29851570176, free=361941180416, active=64509050880, inactive=103383584768, buffers=2552782848, cached=146549100544, shared=56205312, slab=7698128896)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:10.397106
832.0,"svmem(total=540894633984, available=507399643136, percent=6.2, used=29930262528, free=361855205376, active=64549191680, inactive=103391375360, buffers=2552782848, cached=146556383232, shared=63430656, slab=7699759104)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:41:12.711903
721.1,"svmem(total=540894633984, available=507491598336, percent=6.2, used=29845524480, free=361947144192, active=64504680448, inactive=103383642112, buffers=2552782848, cached=146549182464, shared=56205312, slab=7698247680)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:15.050726
953.3,"svmem(total=540894633984, available=507491651584, percent=6.2, used=29845454848, free=361947181056, active=64504487936, inactive=103383642112, buffers=2552782848, cached=146549215232, shared=56205312, slab=7698690048)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:17.384202
772.9,"svmem(total=540894633984, available=507396853760, percent=6.2, used=29933469696, free=361852338176, active=64550535168, inactive=103390957568, buffers=2552795136, cached=146556030976, shared=62971904, slab=7699636224)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:41:19.699482
911.9,"svmem(total=540894633984, available=507473256448, percent=6.2, used=29863866368, free=361928658944, active=64518283264, inactive=103383756800, buffers=2552795136, cached=146549313536, shared=56205312, slab=7699496960)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:22.030893
820.2,"svmem(total=540894633984, available=507486498816, percent=6.2, used=29850607616, free=361941901312, active=64506548224, inactive=103383756800, buffers=2552795136, cached=146549329920, shared=56205312, slab=7698071552)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:24.358314
744.3,"svmem(total=540894633984, available=507401105408, percent=6.2, used=29928259584, free=361856479232, active=64551481344, inactive=103391449088, buffers=2552807424, cached=146557087744, shared=63946752, slab=7699668992)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:41:26.666662
820.2,"svmem(total=540894633984, available=507475628032, percent=6.2, used=29861494784, free=361930772480, active=64522756096, inactive=103383871488, buffers=2552807424, cached=146549559296, shared=56205312, slab=7698944000)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:29.000547
877.7,"svmem(total=540894633984, available=507486351360, percent=6.2, used=29850771456, free=361941479424, active=64512241664, inactive=103383887872, buffers=2552807424, cached=146549575680, shared=56205312, slab=7698878464)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:31.333438
646.9,"svmem(total=540894633984, available=507424374784, percent=6.2, used=29911142400, free=361879498752, active=64532475904, inactive=103385468928, buffers=2552819712, cached=146551173120, shared=57782272, slab=7699542016)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:33.662066
617.3,"svmem(total=540894633984, available=507481538560, percent=6.2, used=29855551488, free=361936482304, active=64512995328, inactive=103383924736, buffers=2552819712, cached=146549780480, shared=56205312, slab=7699034112)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:36.003331
794.2,"svmem(total=540894633984, available=507465424896, percent=6.2, used=29871689728, free=361920294912, active=64525955072, inactive=103383998464, buffers=2552819712, cached=146549829632, shared=56205312, slab=7699599360)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:38.322603
769.8,"svmem(total=540894633984, available=507422625792, percent=6.2, used=29913415680, free=361877405696, active=64532033536, inactive=103385128960, buffers=2552827904, cached=146550984704, shared=57294848, slab=7699378176)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:40.779245
782.8,"svmem(total=540894633984, available=507476455424, percent=6.2, used=29860683776, free=361931161600, active=64517292032, inactive=103384096768, buffers=2552827904, cached=146549960704, shared=56205312, slab=7698292736)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:43.114164
688.3,"svmem(total=540894633984, available=507475062784, percent=6.2, used=29862060032, free=361929736192, active=64519151616, inactive=103384096768, buffers=2552827904, cached=146550009856, shared=56205312, slab=7698661376)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:41:45.451195
